1,0.0021871,26,0.0021871,51,0.0021871,76,0.0021871
1.99,0.0045489,26.99,0.0045489,51.99,0.0045489,76.99,0.0045489
2.98,0.0070954,27.98,0.0070954,52.98,0.0070954,77.98,0.0070954
3.97,0.0098365,28.97,0.0098365,53.97,0.0098365,78.97,0.0098365
4.96,0.012783,29.96,0.012783,54.96,0.012783,79.96,0.012783
5.95,0.015944,30.95,0.015944,55.95,0.015944,80.95,0.015944
6.94,0.019332,31.94,0.019332,56.94,0.019332,81.94,0.019332
7.93,0.022955,32.93,0.022955,57.93,0.022955,82.93,0.022955
8.92,0.026826,33.92,0.026826,58.92,0.026826,83.92,0.026826
9.91,0.030953,34.91,0.030953,59.91,0.030953,84.91,0.030953
10.9,0.035347,35.9,0.035347,60.9,0.035347,85.9,0.035347
11.89,0.040019,36.89,0.040019,61.89,0.040019,86.89,0.040019
12.88,0.044977,37.88,0.044977,62.88,0.044977,87.88,0.044977
13.87,0.050232,38.87,0.050232,63.87,0.050232,88.87,0.050232
14.86,0.055792,39.86,0.055792,64.86,0.055792,89.86,0.055792
15.85,0.061665,40.85,0.061665,65.85,0.061665,90.85,0.061665
16.84,0.06786,41.84,0.06786,66.84,0.06786,91.84,0.06786
17.83,0.074384,42.83,0.074384,67.83,0.074384,92.83,0.074384
18.82,0.081243,43.82,0.081243,68.82,0.081243,93.82,0.081243
19.81,0.088444,44.81,0.088444,69.81,0.088444,94.81,0.088444
20.8,0.095992,45.8,0.095992,70.8,0.095992,95.8,0.095992
21.79,0.10389,46.79,0.10389,71.79,0.10389,96.79,0.10389
22.78,0.11215,47.78,0.11215,72.78,0.11215,97.78,0.11215
23.77,0.12076,48.77,0.12076,73.77,0.12076,98.77,0.12076
24.76,0.12972,49.76,0.12972,74.76,0.12972,99.76,0.12972
25.75,0.13905,50.75,0.13905,75.75,0.13905,100.75,0.13905
26.74,0.14874,51.74,0.14874,76.74,0.14874,101.74,0.14874
27.73,0.15878,52.73,0.15878,77.73,0.15878,102.73,0.15878
28.72,0.16917,53.72,0.16917,78.72,0.16917,103.72,0.16917
29.71,0.17991,54.71,0.17991,79.71,0.17991,104.71,0.17991
30.7,0.19099,55.7,0.19099,80.7,0.19099,105.7,0.19099
31.69,0.20241,56.69,0.20241,81.69,0.20241,106.69,0.20241
32.68,0.21416,57.68,0.21416,82.68,0.21416,107.68,0.21416
33.67,0.22622,58.67,0.22622,83.67,0.22622,108.67,0.22622
34.66,0.23859,59.66,0.23859,84.66,0.23859,109.66,0.23859
35.65,0.25125,60.65,0.25125,85.65,0.25125,110.65,0.25125
36.64,0.26419,61.64,0.26419,86.64,0.26419,111.64,0.26419
37.63,0.2774,62.63,0.2774,87.63,0.2774,112.63,0.2774
38.62,0.29086,63.62,0.29086,88.62,0.29086,113.62,0.29086
39.61,0.30456,64.61,0.30456,89.61,0.30456,114.61,0.30456
40.6,0.31847,65.6,0.31847,90.6,0.31847,115.6,0.31847
41.59,0.33258,66.59,0.33258,91.59,0.33258,116.59,0.33258
42.58,0.34687,67.58,0.34687,92.58,0.34687,117.58,0.34687
43.57,0.36131,68.57,0.36131,93.57,0.36131,118.57,0.36131
44.56,0.37589,69.56,0.37589,94.56,0.37589,119.56,0.37589
45.55,0.39059,70.55,0.39059,95.55,0.39059,120.55,0.39059
46.54,0.40538,71.54,0.40538,96.54,0.40538,121.54,0.40538
47.53,0.42023,72.53,0.42023,97.53,0.42023,122.53,0.42023
48.52,0.43514,73.52,0.43514,98.52,0.43514,123.52,0.43514
49.51,0.45006,74.51,0.45006,99.51,0.45006,124.51,0.45006
50.5,0.46499,75.5,0.46499,100.5,0.46499,125.5,0.46499
51.49,0.4799,76.49,0.4799,101.49,0.4799,126.49,0.4799
52.48,0.49475,77.48,0.49475,102.48,0.49475,127.48,0.49475
53.47,0.50954,78.47,0.50954,103.47,0.50954,128.47,0.50954
54.46,0.52423,79.46,0.52423,104.46,0.52423,129.46,0.52423
55.45,0.53881,80.45,0.53881,105.45,0.53881,130.45,0.53881
56.44,0.55326,81.44,0.55326,106.44,0.55326,131.44,0.55326
57.43,0.56754,82.43,0.56754,107.43,0.56754,132.43,0.56754
58.42,0.58165,83.42,0.58165,108.42,0.58165,133.42,0.58165
59.41,0.59556,84.41,0.59556,109.41,0.59556,134.41,0.59556
60.4,0.60925,85.4,0.60925,110.4,0.60925,135.4,0.60925
61.39,0.62271,86.39,0.62271,111.39,0.62271,136.39,0.62271
62.38,0.63592,87.38,0.63592,112.38,0.63592,137.38,0.63592
63.37,0.64886,88.37,0.64886,113.37,0.64886,138.37,0.64886
64.36,0.66152,89.36,0.66152,114.36,0.66152,139.36,0.66152
65.35,0.67388,90.35,0.67388,115.35,0.67388,140.35,0.67388
66.34,0.68594,91.34,0.68594,116.34,0.68594,141.34,0.68594
67.33,0.69768,92.33,0.69768,117.33,0.69768,142.33,0.69768
68.32,0.7091,93.32,0.7091,118.32,0.7091,143.32,0.7091
69.31,0.72018,94.31,0.72018,119.31,0.72018,144.31,0.72018
70.3,0.73092,95.3,0.73092,120.3,0.73092,145.3,0.73092
71.29,0.7413,96.29,0.7413,121.29,0.7413,146.29,0.7413
72.28,0.75134,97.28,0.75134,122.28,0.75134,147.28,0.75134
73.27,0.76102,98.27,0.76102,123.27,0.76102,148.27,0.76102
74.26,0.77035,99.26,0.77035,124.26,0.77035,149.26,0.77035
75.25,0.77931,100.25,0.77931,125.25,0.77931,150.25,0.77931
76.24,0.78792,101.24,0.78792,126.24,0.78792,151.24,0.78792
77.23,0.79617,102.23,0.79617,127.23,0.79617,152.23,0.79617
78.22,0.80406,103.22,0.80406,128.22,0.80406,153.22,0.80406
79.21,0.81161,104.21,0.81161,129.21,0.81161,154.21,0.81161
80.2,0.81881,105.2,0.81881,130.2,0.81881,155.2,0.81881
81.19,0.82566,106.19,0.82566,131.19,0.82566,156.19,0.82566
82.18,0.83218,107.18,0.83218,132.18,0.83218,157.18,0.83218
83.17,0.83837,108.17,0.83837,133.17,0.83837,158.17,0.83837
84.16,0.84424,109.16,0.84424,134.16,0.84424,159.16,0.84424
85.15,0.8498,110.15,0.8498,135.15,0.8498,160.15,0.8498
86.14,0.85505,111.14,0.85505,136.14,0.85505,161.14,0.85505
87.13,0.86001,112.13,0.86001,137.13,0.86001,162.13,0.86001
