,0.004,0.008
FF_a_coreAsc,296300.0,309350.0
FF_a_coreAsc_mix,320200.0,337550.0
FF_a_coreDes,95450.0,96150.0
FF_a_coreDes_bm1,95550.0,95550.0
FF_d_coreAsc,315750.0,335300.0
FF_d_coreDes,167250.0,191300.0
FF_d_coreDes_bm2,229600.0,229600.0
coreopt_FF_a,214200.0,218800.0
coreopt_FF_d,291550.0,312950.0
coreopt_IS_aa,242000.0,257100.0
coreopt_IS_ad,242000.0,257100.0
coreopt_IS_da,290550.0,313400.0
coreopt_IS_dd,290550.0,313400.0
