,0.004,0.008
FF_a_coreAsc,5676.2,6792.8
FF_a_coreAsc_mix,5766.8,6931.4
FF_a_coreDes,2283.8,2685.2
FF_a_coreDes_bm1,2286.2,2668.4
FF_d_coreAsc,5660.0,6868.4
FF_d_coreDes,2096.0,2836.4
FF_d_coreDes_bm2,2038.4,2956.8
coreopt_FF_a,4993.8,5769.4
coreopt_FF_d,5079.2,6242.6
coreopt_IS_aa,5101.0,6057.8
coreopt_IS_ad,5101.0,6057.8
coreopt_IS_da,5055.2,6269.2
coreopt_IS_dd,5055.2,6269.2
