0,1569.5,89165,36.05,14647
1.0724e-07,1550.8,89551,40.4,16494
2.1447e-07,1551.2,89576,40.4,16494
4.2894e-07,1551.4,89605,40.4,16494
8.5788e-07,1552.3,89645,40.35,16474
1.0724e-06,1551,89578,40.4,16494
2.1447e-06,1552.1,89629,40.35,16474
4.2894e-06,1551.2,89592,40.4,16494
8.5788e-06,1479.8,86633,88.05,36066
1.0724e-05,1459.7,85323,95.9,39133
2.1447e-05,1461.5,85489,97.3,39700
4.2894e-05,1322.2,77425,144.1,58872
8.5788e-05,1269.8,75363,172.05,70187
0.00010724,1231.5,73827,191.45,78008
0.00021447,1223.5,73630,197.6,80458
0.00042894,1216.8,73772,197.75,80516
0.00085788,1210.4,73864,197.75,80516
0.0010724,1211.7,74071,197.75,80516
0.0021447,1209,74144,197.75,80516
0.0042894,1207.9,74239,197.75,80516
0.010724,1203.5,74076,197.75,80516
0.10724,1203.3,74076,197.75,80516
