0,1572.1,90498,37.95,15952
1.0407e-07,1546.9,91070,42.95,18179
2.0814e-07,1547.7,91145,43,18200
4.1628e-07,1547,91079,42.95,18179
8.3256e-07,1547.4,91120,42.95,18179
1.0407e-06,1547.3,91134,43,18200
2.0814e-06,1546.8,91076,42.95,18179
4.1628e-06,1546.8,91111,42.9,18157
8.3256e-06,1474,88838,89.6,38124
1.0407e-05,1458,87747,96.5,40886
2.0814e-05,1449.5,87350,99.95,42302
4.1628e-05,1322.1,80152,145.3,61689
8.3256e-05,1257.7,78924,178.7,75684
0.00010407,1239.3,78196,188.4,79666
0.00020814,1207.8,78461,197.45,83345
0.00041628,1194.8,79451,197.7,83442
0.00083256,1191.5,80283,197.75,83461
0.0010407,1187.8,80315,197.75,83461
0.0020814,1183,80355,197.75,83461
0.0041628,1179.7,80344,197.75,83461
0.010407,1178,80458,197.75,83461
0.10407,1178.5,80502,197.75,83461
