0,0.99054,0.99054,0.69012
1.1529e-07,0.9911,0.9911,0.69081
2.3059e-07,0.99082,0.99082,0.69091
4.6118e-07,0.99093,0.99093,0.69158
9.2236e-07,0.99057,0.99057,0.69251
1.1529e-06,0.99023,0.99023,0.69286
2.3059e-06,0.99014,0.99014,0.69573
4.6118e-06,0.98921,0.98921,0.70083
9.2236e-06,0.98754,0.98754,0.71073
1.1529e-05,0.98648,0.98648,0.71532
2.3059e-05,0.98266,0.98266,0.73747
4.6118e-05,0.97569,0.97569,0.77451
9.2236e-05,0.9597,0.95955,0.82452
0.00011529,0.95216,0.95039,0.84073
0.00023059,0.95266,0.92255,0.89465
0.00046118,0.95623,0.8986,0.94328
0.00092236,0.97047,0.85464,0.94888
0.0011529,0.97044,0.8453,0.95093
0.0023059,0.97251,0.82632,0.95665
0.0046118,0.97212,0.81577,0.95938
0.011529,0.97254,0.80947,0.96146
0.11529,0.9733,0.80607,0.96331
