0,1334,1.0915e+05,133.8,38167
7.7489e-08,1319.2,1.0847e+05,144.35,41868
1.5498e-07,1318.5,1.0845e+05,144.25,41836
3.0996e-07,1317.2,1.0836e+05,144.3,41851
6.1991e-07,1315,1.0818e+05,144.55,41925
7.7489e-07,1315.2,1.0805e+05,145,42084
1.5498e-06,1317.2,1.0805e+05,145.95,42491
3.0996e-06,1313.3,1.0793e+05,148.25,43313
6.1991e-06,1298.7,1.072e+05,157.85,46978
7.7489e-06,1290.5,1.0673e+05,161.55,48349
1.5498e-05,1279.3,1.0637e+05,174.55,52568
3.0996e-05,1140.2,1.0319e+05,236.65,74120
6.1991e-05,998.8,99212,296.35,98226
7.7489e-05,974.35,98535,302.9,1.0076e+05
0.00015498,931.75,98907,312.2,1.041e+05
0.00030996,904.2,99507,314.8,1.0498e+05
0.00061991,889.6,99631,315.35,1.0517e+05
0.00077489,888.5,99839,315.25,1.0515e+05
0.0015498,884.25,99993,315.65,1.0524e+05
0.0030996,879.25,99801,315.55,1.0523e+05
0.0077489,877.9,99749,315.65,1.0526e+05
0.077489,876,99802,315.6,1.0525e+05
