,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1739.0,FF_a,1739.0,1822,94380.0,106020.0,1822.0,0.954445664105
1e-05,1736.98655,FF_a,1736.0,1822,98655.0,113240.0,1823.1324,0.952748439993
2e-05,1739.9778,FF_a,1738.0,1823,98890.0,113265.0,1825.2653,0.953273915852
4e-05,1741.9556,FF_a,1738.0,1823,98890.0,113265.0,1827.5306,0.953174518665
8e-05,1745.9112,FF_a,1738.0,1823,98890.0,113265.0,1832.0612,0.952976461703
0.0001,1747.889,FF_a,1738.0,1823,98890.0,113265.0,1834.3265,0.952877800108
0.0002,1753.612,FF_a,1734.0,1823,98060.0,113265.0,1845.653,0.95013092927
0.0004,1777.556,FF_a,1738.0,1823,98890.0,113265.0,1868.306,0.951426586437
0.0008,1791.916,FF_a,1710.0,1806,102395.0,130540.0,1910.432,0.937963769451
0.001,1812.395,FF_a,1710.0,1806,102395.0,130540.0,1936.54,0.935893397503
0.002,1912.28,FF_a,1708.0,1805,102140.0,130840.0,2066.68,0.925290804575
0.004,2101.26,FF_bm2,1535.0,1653,141565.0,147905.0,2244.62,0.93613172831
0.008,2731.36,FF_mix,1463.0,1644,158545.0,170115.0,3004.92,0.908962634613
0.01,3058.7,FF_mix,1466.0,1641,159270.0,170510.0,3346.1,0.914108962673
0.02,4664.6,FF_mix2,1464.0,1636,160030.0,170755.0,5051.1,0.923482013819
0.04,7913.2,coreopt_IS_da,1468.0,1627,161130.0,171075.0,8470.0,0.934262101535
0.08,14460.8,coreopt_IS_da,1470.0,1618,162385.0,171255.0,15318.4,0.944015040735
0.1,17726.5,FF_mix,1470.0,1614,162565.0,171345.0,18748.5,0.945488972451
0.2,34182.0,coreopt_IS_da,1483.0,1606,163495.0,171370.0,35880.0,0.952675585284
0.4,67027.0,coreopt_IS_da,1485.0,1602,163855.0,171415.0,70168.0,0.955236005017
1.0,165079.0,coreopt_IS_da,1479.0,1602,163600.0,171415.0,173017.0,0.954120115364
10.0,1645390.0,coreopt_IS_da,1490.0,1602,164390.0,171395.0,1715552.0,0.959102376378
