,0.001,0.002
FF_a,1809.765,1912.28
FF_bm1,1809.765,1912.28
FF_bm2,1758.405,1842.99
FF_d,1758.405,1842.99
FF_mix,1780.115,1884.15
FF_mix2,1700.535,1868.54
coreopt_FF_a,1809.765,1912.28
coreopt_FF_d,1758.405,1842.99
coreopt_IS_aa,1782.78,1892.67
coreopt_IS_ad,1782.78,1892.67
coreopt_IS_da,1724.275,1845.52
coreopt_IS_dd,1724.275,1845.52
