x_25,y_25,x_50,y_50,x_75,y_75,x_100,y_100
1.0,0.0022092292607598556,2.0,0.008365304546694,3.0,0.010985688247972046,4.0,0.012251477925287708
2.0,0.0023874926239299873,3.5,0.008605854616759797,5.0,0.011166842684876544,6.5,0.012389310900183463
3.0,0.002576015187297026,5.0,0.008845357463923188,7.0,0.011342915423855855,9.0,0.012520866551754512
4.0,0.0027749804549562006,6.5,0.009083347036375172,9.0,0.01151357404039824,11.5,0.012645912958378752
5.0,0.0029845342481935383,8.0,0.009319348669715616,11.0,0.011678492623488603,14.0,0.012764228072504963
6.0,0.0032047808288961513,9.5,0.009552880585799797,13.0,0.011837352807075811,16.5,0.012875600376869176
7.0,0.0034357790715901777,11.0,0.0097834554636111,15.0,0.011989844789676846,19.0,0.012979829514008966
8.0,0.0036775387258275376,12.5,0.010010582075446441,17.0,0.01213566833756975,21.5,0.013076726886455739
9.0,0.003930016812707215,14.0,0.010233766981113366,19.0,0.012274533767046356,24.0,0.013166116225090278
10.0,0.004193114200954039,15.5,0.010452516272288902,21.0,0.012406162901240388,26.5,0.01324783412326546
11.0,0.0044666724091323145,17.0,0.010666337358685012,23.0,0.012530289997117834,29.0,0.01332173053443154
12.0,0.0047504706811916245,18.5,0.010874740787209392,25.0,0.012646662638313573,31.5,0.013387669231143415
13.0,0.005044223382581497,20.0,0.011077242084908267,27.0,0.012755042589621296,34.0,0.013445528223484849
14.0,0.005347577763590333,21.5,0.011273363616133928,29.0,0.0128552066090919,36.5,0.013495200135110888
15.0,0.005660112135329825,23.0,0.01146263644409835,31.0,0.012946947213868597,39.0,0.013536592535286152
16.0,0.005981334501875257,24.5,0.011644602186758817,33.0,0.01303007339608327,41.5,0.013569628225481802
17.0,0.006310681689470615,26.0,0.011818814856834805,35.0,0.013104411285357997,44.0,0.013594245479287458
18.0,0.006647519010411604,27.5,0.011984842675680445,37.0,0.013169804754696318,46.5,0.013610398234594414
19.0,0.006991140495237289,29.0,0.012142269850734856,39.0,0.01322611596680936,49.0,0.01361805623721269
20.0,0.0073407697222112964,30.5,0.012290698306345306,41.0,0.013273225858201438,51.5,0.013617205135295078
21.0,0.0076955612677878,32.0,0.012429749357905752,43.0,0.013311034558635521,54.0,0.013607846524155757
22.0,0.008054602795879433,33.5,0.012559065319475836,45.0,0.013339461743910298,56.5,0.01358999794128756
23.0,0.008416917797329133,35.0,0.012678311035341961,47.0,0.013358446920204645,59.0,0.013563692811599613
24.0,0.008781468984103372,36.5,0.012787175326351355,49.0,0.013367949638580658,61.5,0.013528980343114816
25.0,0.009147162335447887,38.0,0.012885372342289803,51.0,0.013367949638580658,64.0,0.01348592537358259
26.0,0.00951285178566794,39.5,0.01297264281208099,53.0,0.013358446920204645,66.5,0.013434608168676278
27.0,0.00987734453541018,41.0,0.013048755184157138,55.0,0.013339461743910298,69.0,0.013375124172654214
28.0,0.01023940696043814,42.5,0.01311350664998229,57.0,0.013311034558635521,71.5,0.013307583712568691
29.0,0.010597771084018997,44.0,0.013166724044396902,59.0,0.013273225858201438,74.0,0.013232111657305843
30.0,0.01095114157129206,45.5,0.013208264617190043,61.0,0.01322611596680936,76.5,0.013148847032931274
31.0,0.011298203196487132,47.0,0.013238016671087713,63.0,0.013169804754696318,79.0,0.013057942595999888
32.0,0.011637628726723147,48.5,0.013255900062166618,65.0,0.013104411285357997,81.5,0.012959564366662646
33.0,0.011968087159460888,50.0,0.01326186655955582,67.0,0.01303007339608327,84.0,0.012853891123567388
34.0,0.012288252244622643,51.5,0.013255900062166618,69.0,0.012946947213868597,86.5,0.012741113862703992
35.0,0.01259681121703342,53.0,0.013238016671087713,71.0,0.0128552066090919,89.0,0.012621435222485801
36.0,0.012892473660283134,54.5,0.013208264617190043,73.0,0.012755042589621296,91.5,0.01249506887748818
