1,0.0022092,2,0.0083653,3,0.010986,4,0.012251
43,0.35306,65,0.50845,87,0.5438,109,0.55753
44,0.36771,66.5,0.52101,89,0.55548,111.5,0.5688
45,0.3825,68,0.53344,91,0.567,114,0.5799
46,0.39738,69.5,0.54573,93,0.57834,116.5,0.59082
47,0.41236,71,0.55787,95,0.58951,119,0.60155
48,0.42739,72.5,0.56985,97,0.60049,121.5,0.6121
49,0.44246,74,0.58167,99,0.61129,124,0.62246
50,0.45754,75.5,0.59332,101,0.6219,126.5,0.63262
51,0.47261,77,0.60478,103,0.63232,129,0.64259
52,0.48764,78.5,0.61605,105,0.64253,131.5,0.65236
53,0.50262,80,0.62713,107,0.65255,134,0.66193
54,0.5175,81.5,0.63801,109,0.66236,136.5,0.6713
55,0.53229,83,0.64867,111,0.67196,139,0.68046
56,0.54694,84.5,0.65912,113,0.68136,141.5,0.68942
57,0.56144,86,0.66936,115,0.69054,144,0.69818
58,0.57577,87.5,0.67937,117,0.69951,146.5,0.70673
59,0.5899,89,0.68915,119,0.70827,149,0.71507
60,0.60383,90.5,0.69871,121,0.71681,151.5,0.72321
61,0.61752,92,0.70802,123,0.72513,154,0.73114
62,0.63096,93.5,0.71711,125,0.73324,156.5,0.73886
63,0.64413,95,0.72595,127,0.74114,159,0.74638
64,0.65702,96.5,0.73456,129,0.74881,161.5,0.75369
65,0.66962,98,0.74292,131,0.75627,164,0.7608
66,0.68191,99.5,0.75105,133,0.76352,166.5,0.76771
67,0.69388,101,0.75893,135,0.77055,169,0.77442
68,0.70551,102.5,0.76657,137,0.77738,171.5,0.78093
69,0.71681,104,0.77398,139,0.78399,174,0.78724
70,0.72776,105.5,0.78114,141,0.79039,176.5,0.79336
71,0.73836,107,0.78806,143,0.79659,179,0.79929
72,0.7486,108.5,0.79475,145,0.80258,181.5,0.80503
73,0.75848,110,0.80121,147,0.80838,184,0.81058
74,0.76799,111.5,0.80743,149,0.81397,186.5,0.81594
75,0.77714,113,0.81343,151,0.81937,189,0.82112
76,0.78592,114.5,0.8192,153,0.82458,191.5,0.82613
77,0.79434,116,0.82475,155,0.82959,194,0.83096
78,0.80239,117.5,0.83008,157,0.83443,196.5,0.83561
79,0.81009,119,0.8352,159,0.83908,199,0.8401
80,0.81743,120.5,0.8401,161,0.84355,201.5,0.84442
81,0.82442,122,0.84481,163,0.84784,204,0.84858
82,0.83107,123.5,0.84931,165,0.85197,206.5,0.85259
83,0.83738,125,0.85361,167,0.85593,209,0.85643
