1e-08,0.87194,0.18025
1.0724e-07,0.87171,0.18074
2.1447e-07,0.87146,0.18129
4.2894e-07,0.87095,0.18238
8.5788e-07,0.86993,0.18456
1.0724e-06,0.86942,0.18565
2.1447e-06,0.86687,0.1911
4.2894e-06,0.86178,0.202
8.5788e-06,0.82211,0.44025
1.0724e-05,0.82042,0.44796
2.1447e-05,0.81194,0.4865
4.2894e-05,0.77644,0.61108
8.5788e-05,0.70544,0.86025
0.00010724,0.68417,0.95725
0.00021447,0.68417,0.95725
0.00042894,0.68417,0.95725
0.00085788,0.68417,0.95725
0.0010724,0.68417,0.95725
0.0021447,0.68417,0.95725
0.0042894,0.68417,0.95725
0.010724,0.68417,0.95725
0.10724,0.68417,0.95725
