0,3741.9,2.6945e+05,37.1,15564
8.9271e-08,3743.9,2.6986e+05,37.65,15816
1.7854e-07,3741.5,2.6959e+05,37.35,15683
3.5708e-07,3741.7,2.6968e+05,38.4,16115
7.1417e-07,3739.9,2.6958e+05,38.05,15968
8.9271e-07,3741.4,2.6969e+05,37.75,15825
1.7854e-06,3741.3,2.6978e+05,37.9,15905
3.5708e-06,3739.7,2.6998e+05,39.6,16611
7.1417e-06,3730.4,2.6941e+05,42.6,17831
8.9271e-06,3730.6,2.6928e+05,44.9,18822
1.7854e-05,3699.1,2.6708e+05,56.2,23586
3.5708e-05,3588.2,2.5876e+05,102.5,43373
7.1417e-05,3566.8,2.5954e+05,109.45,46430
8.9271e-05,3550.6,2.5971e+05,112.55,47750
0.00017854,3348.1,2.5114e+05,160.2,68042
0.00035708,2300.2,1.798e+05,418,1.7775e+05
0.00071417,2131.5,1.7046e+05,447.95,1.9032e+05
0.00089271,2112.7,1.6951e+05,450.95,1.9157e+05
0.0017854,2075.6,1.6782e+05,456.75,1.9406e+05
0.0035708,2078.3,1.6832e+05,454.65,1.9318e+05
0.0089271,2071.3,1.6799e+05,455.95,1.9366e+05
0.089271,2077.4,1.6858e+05,454.6,1.9312e+05
