0,1567.2,74599,35.65,14258
1.1968e-07,1550.2,73790,39.9,15965
2.3937e-07,1559.8,74244,39.8,15924
4.7873e-07,1562,74349,39.8,15924
9.5747e-07,1559,74208,39.9,15964
1.1968e-06,1559.5,74230,39.75,15904
2.3937e-06,1567.5,74613,39.75,15904
4.7873e-06,1562.2,74358,39.8,15924
9.5747e-06,1463.2,69646,97.4,38972
1.1968e-05,1458,69403,97.7,39092
2.3937e-05,1449.5,68994,101.45,40593
4.7873e-05,1384.7,65909,122.4,48974
9.5747e-05,1229.8,58538,187.45,74979
0.00011968,1225.3,58327,192.75,77098
0.00023937,1220,58074,196.9,78760
0.00047873,1220.2,58082,197.75,79100
0.00095747,1203,57265,196.8,78719
0.0011968,1201.8,57208,196.8,78719
0.0023937,1200.3,57134,196.65,78659
0.0047873,1199.8,57110,196.65,78659
0.011968,1196.8,56965,196.65,78659
0.11968,1199.9,57115,196.65,78659
