,0.001,0.002,0.004,0.008
FF_a,1521.0,1521.0,1520.0,1497.0
FF_bm1,1521.0,1521.0,1520.0,1497.0
FF_bm2,1451.0,1451.0,1472.0,1469.0
FF_d,1451.0,1451.0,1472.0,1469.0
FF_mix,1499.0,1512.0,1508.0,1490.0
FF_mix2,1475.0,1466.0,1468.0,1446.0
coreopt_FF_a,1521.0,1521.0,1520.0,1497.0
coreopt_FF_d,1451.0,1451.0,1472.0,1469.0
coreopt_IS_aa,1554.0,1554.0,1547.0,1526.0
coreopt_IS_ad,1554.0,1554.0,1547.0,1526.0
coreopt_IS_da,1471.0,1471.0,1456.0,1453.0
coreopt_IS_dd,1471.0,1471.0,1456.0,1453.0
