,0.001,0.002,0.004,0.008
FF_a,109365.0,109365.0,111620.0,111245.0
FF_bm1,109365.0,109365.0,111620.0,111245.0
FF_bm2,129890.0,129890.0,132430.0,135020.0
FF_d,129890.0,129890.0,132430.0,135020.0
FF_mix,130835.0,132085.0,133525.0,135320.0
FF_mix2,129465.0,128945.0,131045.0,132830.0
coreopt_FF_a,109365.0,109365.0,111620.0,111245.0
coreopt_FF_d,129890.0,129890.0,132430.0,135020.0
coreopt_IS_aa,112055.0,112055.0,112535.0,111480.0
coreopt_IS_ad,112055.0,112055.0,112535.0,111480.0
coreopt_IS_da,130560.0,130560.0,131245.0,133435.0
coreopt_IS_dd,130560.0,130560.0,131245.0,133435.0
