,0.001,0.002
FF_a,1708.0,1708.0
FF_bm1,1708.0,1708.0
FF_bm2,1637.0,1603.0
FF_d,1637.0,1603.0
FF_mix,1659.0,1643.0
FF_mix2,1584.0,1629.0
coreopt_FF_a,1708.0,1708.0
coreopt_FF_d,1637.0,1603.0
coreopt_IS_aa,1679.0,1683.0
coreopt_IS_ad,1679.0,1683.0
coreopt_IS_da,1605.0,1606.0
coreopt_IS_dd,1605.0,1606.0
