4822.9,2.9584e+05,4367.1,2.5296e+05,4178.5,2.6814e+05
4816.8,2.9768e+05,4355.6,2.5364e+05,4174.6,2.6868e+05
4817.8,2.9769e+05,4360.1,2.5378e+05,4175,2.6874e+05
4813,2.9766e+05,4359.2,2.5385e+05,4174.4,2.6865e+05
4815.8,2.9772e+05,4359.2,2.5391e+05,4175.5,2.6917e+05
4812,2.984e+05,4356.9,2.5402e+05,4175.9,2.6907e+05
4812.9,2.9819e+05,4358.6,2.5433e+05,4174.3,2.6946e+05
4812.4,2.9845e+05,4357.4,2.5468e+05,4176.1,2.7039e+05
4811.4,2.9832e+05,4353.5,2.5548e+05,4170.1,2.7158e+05
4807.4,2.9894e+05,4357.7,2.5584e+05,4168.7,2.7244e+05
4791.2,3.0112e+05,4351.2,2.5896e+05,4146.1,2.7761e+05
4764.5,3.0291e+05,4295.3,2.7279e+05,4075,2.8962e+05
4522,3.254e+05,4192.6,2.8953e+05,4026.2,2.9645e+05
4511.5,3.2559e+05,4184.4,2.906e+05,4022,2.9772e+05
4462.8,3.2654e+05,4014.4,3.0121e+05,3804.9,3.1281e+05
4091.6,3.3704e+05,3227.1,3.3346e+05,2854.9,3.4989e+05
3606,3.4876e+05,3063.2,3.3668e+05,2644.6,3.5272e+05
3599,3.4871e+05,3041.2,3.3712e+05,2621,3.5301e+05
3601.3,3.4877e+05,2988.6,3.3766e+05,2571.1,3.5356e+05
3599.3,3.4876e+05,2963.2,3.3778e+05,2542.9,3.5365e+05
3594.6,3.4859e+05,2948,3.3791e+05,2527.4,3.537e+05
3594.6,3.488e+05,2939,3.3798e+05,2520,3.5393e+05
