1e-08,206.82,34.878
1.1477e-07,207.06,35.724
2.2953e-07,207.23,35.775
4.5907e-07,207.19,35.856
9.1813e-07,207.16,36.095
1.1477e-06,207.08,35.632
2.2953e-06,207.03,35.916
4.5907e-06,206.92,36.057
9.1813e-06,206.83,36.18
1.1477e-05,206.94,36.182
2.2953e-05,206.38,37.149
4.5907e-05,200.48,54.695
9.1813e-05,187.89,88.634
0.00011477,187.32,89.9
0.00022953,159.13,143.79
0.00045907,128.49,200.32
0.00091813,126.95,203.15
0.0011477,126.65,203.48
0.0022953,126.37,203.92
0.0045907,126.85,203.85
0.011477,126.86,203.81
0.11477,126.66,204.11
