1602.9,53440,1602.9,93146,1602.9,1.3269e+05
1602.7,53472,1602.7,93186,1602.7,1.3271e+05
1602.5,53506,1602.6,93231,1602.5,1.3274e+05
1602.1,53573,1602.2,93319,1602.2,1.3278e+05
1601.4,53709,1601.6,93497,1601.5,1.3288e+05
1601,53777,1601.3,93585,1601.1,1.3293e+05
1599.2,54116,1599.8,94029,1599.4,1.3316e+05
1595.5,54794,1596.7,94915,1595.8,1.3364e+05
1560.8,75694,1562.7,1.1147e+05,1558.9,1.5093e+05
1561,75706,1562.1,1.1185e+05,1558.7,1.5096e+05
1562.2,75768,1559.3,1.1374e+05,1557.8,1.5109e+05
1514.1,86552,1513.3,1.2265e+05,1543.8,1.5335e+05
1417.8,1.0812e+05,1421.1,1.4047e+05,1436.7,1.6863e+05
1416.7,1.0817e+05,1414.9,1.4135e+05,1430.1,1.7246e+05
1411.4,1.0843e+05,1414.9,1.4135e+05,1428.9,1.728e+05
1400.7,1.0895e+05,1414.9,1.4135e+05,1426.5,1.7348e+05
NaN,NaN,1414.9,1.4135e+05,1421.7,1.7483e+05
NaN,NaN,1414.9,1.4135e+05,1419.3,1.7551e+05
NaN,NaN,1414.9,1.4135e+05,NaN,NaN
NaN,NaN,1414.9,1.4135e+05,NaN,NaN
NaN,NaN,1414.9,1.4135e+05,NaN,NaN
NaN,NaN,1414.9,1.4135e+05,NaN,NaN
