1e-08,204.48,34.655
1.1477e-07,205.06,34.603
2.2953e-07,205.22,34.788
4.5907e-07,204.88,34.782
9.1813e-07,204.77,34.658
1.1477e-06,204.99,34.415
2.2953e-06,204.93,34.648
4.5907e-06,204.76,34.573
9.1813e-06,204.46,35.069
1.1477e-05,204.76,35.076
2.2953e-05,204.59,34.914
4.5907e-05,199.95,50.323
9.1813e-05,190.41,78.632
0.00011477,190.16,79.209
0.00022953,163.61,130.37
0.00045907,132.53,186.83
0.00091813,131.31,189.98
0.0011477,131.3,189.72
0.0022953,130.96,190.21
0.0045907,131.15,190.91
0.011477,130.32,192.34
0.11477,131.07,190.69
