1e-08,0.87067,0.17825
1.1586e-07,0.86578,0.19825
2.3172e-07,0.869,0.1985
4.6345e-07,0.86789,0.19875
9.269e-07,0.86483,0.19875
1.1586e-06,0.86844,0.1985
2.3172e-06,0.86444,0.1985
4.6345e-06,0.865,0.19825
9.269e-06,0.81817,0.44975
1.1586e-05,0.81194,0.48425
2.3172e-05,0.81222,0.48675
4.6345e-05,0.78983,0.5645
9.269e-05,0.68267,0.9615
0.00011586,0.67733,0.97825
0.00023172,0.67933,0.988
0.00046345,0.67917,0.98875
0.0009269,0.67889,0.98875
0.0011586,0.67944,0.98875
0.0023172,0.6775,0.98875
0.0046345,0.67956,0.98875
0.011586,0.67944,0.98875
0.11586,0.67839,0.98875
