0,0.97554,0.96207,0.95833
9.7249e-08,0.97583,0.95737,0.9542
1.945e-07,0.97549,0.95696,0.95453
3.8899e-07,0.97553,0.95701,0.95337
7.7799e-07,0.97453,0.9574,0.95371
9.7249e-07,0.97441,0.95678,0.9541
1.945e-06,0.97491,0.95515,0.95403
3.8899e-06,0.97467,0.95517,0.9548
7.7799e-06,0.97611,0.95252,0.95496
9.7249e-06,0.97502,0.95064,0.95532
1.945e-05,0.98038,0.94671,0.95752
3.8899e-05,0.99128,0.93845,0.96242
7.7799e-05,0.98686,0.91659,0.96233
9.7249e-05,0.98353,0.90892,0.9632
0.0001945,0.97929,0.88487,0.96392
0.00038899,0.97846,0.86772,0.96618
0.00077799,0.98036,0.8643,0.96631
0.00097249,0.98167,0.86273,0.96796
0.001945,0.98131,0.85694,0.96805
0.0038899,0.98307,0.85636,0.96898
0.0097249,0.9818,0.8549,0.96846
0.097249,0.98211,0.85315,0.96852
